mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,band_0_80_mean,band_0_80_std,band_80_200_mean,band_80_200_std,band_200_800_mean,band_200_800_std,label
-85.29553,147.01353,-41.021023,1.5147018,-5.977144,23.891901,5.2368526,22.245964,0.11567516,-0.74566114,-2.0880518,7.24502,-9.357728,11.582688,9.791922,12.775821,6.4143806,4.2498517,2.6268246,5.5365663,4.8202934,4.730364,4.082583,3.5129876,3.5170534,4.4021726,63.860798,125.573395,5.7182765,5.9170084,2.663324,1.6351541,0
-73.537834,149.97217,-36.600044,7.5339875,-6.393083,25.096264,-1.4858005,24.169477,0.29011542,6.5609703,-4.6248984,5.584402,-3.7591374,9.48178,7.9460707,9.50199,6.355962,5.5891767,4.8684783,6.433336,5.7191577,4.431575,3.558625,2.8121862,3.851726,2.7025201,60.902386,115.43923,7.511452,3.8372924,3.27136,1.8633238,0
-64.25369,137.06314,-36.492867,10.545572,-12.682189,27.217157,-1.0646281,14.910412,-8.337886,4.96483,-2.7780824,6.661182,-6.0279922,12.662677,8.432525,12.663997,10.299939,6.997336,5.260794,6.3988943,6.3702054,6.498235,7.038297,5.871322,6.8069463,6.4183817,62.937263,121.213844,6.6841006,1.7509285,2.975083,1.5482609,0
-136.1044,134.75581,11.834917,35.68121,-9.303024,16.748568,-9.522472,13.2043915,-2.2646933,12.489693,-6.2357264,6.7668004,1.040334,22.319798,9.0898905,8.577949,6.2094336,6.4204354,6.4155693,7.4179373,6.7241926,5.6572466,4.880448,4.688221,5.0390663,3.6508472,77.47087,151.01358,4.1334486,1.819041,1.4758426,1.2427645,0
-74.86064,152.9341,-34.64483,6.1053724,-4.0473065,28.203224,3.409571,25.681406,-0.54331934,8.026151,-4.171545,6.416502,-4.2552667,10.870646,7.681173,7.963161,6.390186,5.114502,5.030474,5.9874344,5.3345003,5.2854533,3.477402,3.0662515,3.3041234,3.1888084,68.80046,116.216194,6.367034,2.7694685,2.8376882,2.1991808,0
-57.041843,130.44386,-31.66257,9.250949,-5.5677233,26.079634,-3.5950065,17.9248,-4.991131,4.1580253,-6.667706,3.9010782,-7.365265,17.398563,9.323144,6.7800064,7.7123733,5.2315917,4.948681,5.1527047,4.228872,6.271504,4.249943,5.1649523,4.172587,5.808585,63.35427,122.47557,7.820214,1.9655532,3.930055,2.5096388,0
-69.232,143.80379,-35.4627,7.2908554,-8.152223,27.583067,1.60494,23.617653,-2.0903108,4.3407273,-5.6686416,7.859995,-4.5294285,9.494348,11.030078,9.690933,4.5392165,6.3271723,4.5623407,4.3249087,7.1584053,5.1419125,4.751016,4.2427125,5.425411,5.3500237,61.157185,119.26218,3.257264,2.1532643,3.230984,2.1147616,0
-96.69706,150.10841,-39.777897,4.2748513,-0.16090645,29.784002,4.462298,27.749998,3.068848,7.4945264,-6.099924,5.2284346,-7.1085434,13.154411,11.320357,8.549,6.7347975,5.810238,4.125071,4.0115266,3.6931825,3.826409,2.588092,3.9765203,3.696836,4.051525,53.785736,102.993,5.717273,9.290297,1.9637357,0.9520297,0
-79.226105,148.89098,-41.39951,3.6012654,-11.485621,27.88743,7.438999,20.746487,-2.171325,0.38375756,-5.154047,5.03702,-9.487593,8.999041,8.255879,8.488917,5.5890765,4.510708,4.015374,4.1890845,3.4127078,3.412924,3.1393342,3.2904825,3.0952673,3.671722,67.586914,130.04637,9.748434,5.5944986,3.3218462,2.193948,0
-78.446205,146.6057,-39.626984,4.5510187,-13.816503,25.94435,6.671502,21.481302,-6.640831,1.5370449,-4.3684263,4.5160704,-9.984075,8.575302,6.862529,6.658088,4.560063,4.541979,4.594343,3.8527355,4.1104307,3.8783371,3.7073712,3.9261866,3.258003,4.1558414,65.7408,126.19475,3.3570573,2.6595564,2.824615,2.3884883,0
